years,temp
20210907T2200,73.81035
20210907T2300,73.162346
20200825T0000,72.53235
20200825T0100,72.40635
20200825T0200,72.13635
20200825T0300,71.92035
20200825T0400,71.56035
20200825T0500,71.47035
20200825T0600,71.97435
20200825T0700,74.13435
20200825T0800,74.35034
20200825T0900,76.54635
20200825T1000,76.27635
20200825T1100,76.762344
20200825T1200,77.770355
20200825T1300,78.59834
20200825T1400,78.90434
20200825T1500,77.662346
20200825T1600,76.11435
20200825T1700,75.08835
20200825T1800,73.81035
20200825T1900,72.10034
20200825T2000,71.66835
20200825T2100,72.22635
20200825T2200,71.86635
20200825T2300,70.120346
20200826T0000,70.46235
20200826T0100,70.40835
20200826T0200,70.33635
20200826T0300,70.624344
20200826T0400,70.78635
20200826T0500,70.87635
20200826T0600,73.07235
20200826T0700,74.65635
20200826T0800,74.58435
20200826T0900,74.99835
20200826T1000,75.05235
20200826T1100,76.90634
20200826T1200,74.72835
20200826T1300,74.18835
20200826T1400,74.17035
20200826T1500,75.232346
20200826T1600,74.80035
20200826T1700,74.45835
20200826T1800,73.81035
20200826T1900,73.234344
20200826T2000,72.22635
20200826T2100,70.94835
20200826T2200,70.51635
20200826T2300,71.09235
20200827T0000,71.00235
20200827T0100,70.57035
20200827T0200,70.40835
20200827T0300,70.39035
20200827T0400,70.17435
20200827T0500,70.012344
20200827T0600,68.68034
20200827T0700,70.22835
20200827T0800,71.41635
20200827T0900,72.568344
20200827T1000,74.42235
20200827T1100,76.60034
20200827T1200,74.15235
20200827T1300,73.39635
20200827T1400,73.216354
20200827T1500,73.10835
20200827T1600,72.82035
20200827T1700,72.38835
20200827T1800,71.86635
20200827T1900,71.72235
20200827T2000,71.63235
20200827T2100,71.48834
20200827T2200,71.344345
20200827T2300,71.21835
20200828T0000,71.16435
20200828T0100,71.16435
20200828T0200,71.14635
20200828T0300,71.09235
20200828T0400,70.78635
20200828T0500,70.22835
20200828T0600,70.26435
20200828T0700,74.260345
20200828T0800,76.456345
20200828T0900,78.328354
20200828T1000,79.96635
20200828T1100,80.72235
20200828T1200,81.316345
20200828T1300,81.13635
20200828T1400,79.22835
20200828T1500,77.53635
20200828T1600,76.25835
20200828T1700,76.34834
20200828T1800,75.21435
20200828T1900,73.900345
20200828T2000,73.03635
20200828T2100,71.90235
20200828T2200,72.010345
20200828T2300,72.28035
20200829T0000,72.51435
20200829T0100,72.47835
20200829T0200,72.15435
20200829T0300,71.90235
20200829T0400,71.704346
20200829T0500,71.704346
20200829T0600,72.622345
20200829T0700,75.34035
20200829T0800,75.80835
20200829T0900,78.63435
20200829T1000,80.578354
20200829T1100,82.03635
20200829T1200,80.578354
20200829T1300,82.648346
20200829T1400,82.19835
20200829T1500,81.15434
20200829T1600,80.650345
20200829T1700,79.624344
20200829T1800,77.53635
20200829T1900,75.484344
20200829T2000,74.44035
20200829T2100,74.58435
20200829T2200,74.22435
20200829T2300,74.09834
20200830T0000,73.900345
20200830T0100,73.55835
20200830T0200,73.09035
20200830T0300,72.622345
20200830T0400,72.40635
20200830T0500,72.316345
20200830T0600,72.08235
20200830T0700,74.58435
20200830T0800,77.428345
20200830T0900,79.64235
20200830T1000,81.17235
20200830T1100,82.828354
20200830T1200,83.89035
20200830T1300,84.88035
20200830T1400,84.98834
20200830T1500,84.790344
20200830T1600,83.260345
20200830T1700,80.578354
20200830T1800,75.88035
20200830T1900,73.63035
20200830T2000,72.83835
20200830T2100,72.874344
20200830T2200,73.522354
20200830T2300,73.540344
20200831T0000,73.18034
20200831T0100,73.05435
20200831T0200,72.65835
20200831T0300,73.70235
20200831T0400,71.30835
20200831T0500,70.78635
20200831T0600,72.80235
20200831T0700,76.06035
20200831T0800,77.356346
20200831T0900,79.26435
20200831T1000,80.704346
20200831T1100,81.622345
20200831T1200,81.82035
20200831T1300,81.82035
20200831T1400,81.33435
20200831T1500,80.14635
20200831T1600,77.80635
20200831T1700,76.65434
20200831T1800,75.34035
20200831T1900,74.49435
20200831T2000,73.91835
20200831T2100,73.61235
20200831T2200,73.234344
20200831T2300,72.74835
20200901T0000,71.79434
20200901T0100,71.50635
20200901T0200,71.290344
20200901T0300,70.85835
20200901T0400,71.36235
20200901T0500,71.326355
20200901T0600,72.47835
20200901T0700,73.30635
20200901T0800,74.08035
20200901T0900,76.54635
20200901T1000,78.99435
20200901T1100,80.50635
20200901T1200,81.568344
20200901T1300,81.982346
20200901T1400,81.76635
20200901T1500,80.93835
20200901T1600,79.28235
20200901T1700,77.71635
20200901T1800,75.64635
20200901T1900,74.512344
20200901T2000,73.86435
20200901T2100,73.61235
20200901T2200,73.45035
20200901T2300,73.14435
20200902T0000,72.982346
20200902T0100,72.83835
20200902T0200,72.69435
20200902T0300,72.42435
20200902T0400,71.596344
20200902T0500,71.09235
20200902T0600,72.64035
20200902T0700,76.24035
20200902T0800,76.02435
20200902T0900,76.42035
20200902T1000,76.63635
20200902T1100,76.83435
20200902T1200,76.63635
20200902T1300,76.33035
20200902T1400,76.04234
20200902T1500,75.46635
20200902T1600,74.49435
20200902T1700,74.60235
20200902T1800,73.30635
20200902T1900,72.29835
20200902T2000,71.79434
20200902T2100,71.20035
20200902T2200,70.84035
20200902T2300,70.17435
20200903T0000,69.99435
20200903T0100,70.03035
20200903T0200,69.760345
20200903T0300,69.99435
20200903T0400,70.33635
20200903T0500,70.678345
20200903T0600,71.21835
20200903T0700,73.39635
20200903T0800,73.72035
20200903T0900,74.00835
20200903T1000,74.35034
20200903T1100,74.53035
20200903T1200,74.566345
20200903T1300,74.33235
20200903T1400,74.18835
20200903T1500,73.88235
20200903T1600,73.50435
20200903T1700,73.77435
20200903T1800,72.53235
20200903T1900,72.28035
20200903T2000,72.22635
20200903T2100,72.20835
20200903T2200,72.20835
20200903T2300,72.11835
20200904T0000,71.97435
20200904T0100,71.79434
20200904T0200,71.66835
20200904T0300,71.38035
20200904T0400,70.714355
20200904T0500,70.85835
20200904T0600,72.89235
20200904T0700,76.34834
20200904T0800,77.59035
20200904T0900,77.968346
20200904T1000,76.70835
20200904T1100,76.18635
20200904T1200,75.844345
20200904T1300,74.85435
20200904T1400,73.68435
20200904T1500,74.85435
20200904T1600,74.00835
20200904T1700,73.900345
20200904T1800,72.964355
20200904T1900,72.65835
20200904T2000,72.58635
20200904T2100,72.53235
20200904T2200,72.44235
20200904T2300,72.40635
20200905T0000,72.17235
20200905T0100,72.02835
20200905T0200,71.36235
20200905T0300,70.69635
20200905T0400,70.33635
20200905T0500,70.19235
20200905T0600,72.60435
20200905T0700,75.08835
20200905T0800,75.43034
20200905T0900,75.520355
20200905T1000,75.26835
20200905T1100,75.32235
20200905T1200,75.43034
20200905T1300,75.35835
20200905T1400,75.21435
20200905T1500,74.98035
20200905T1600,74.54835
20200905T1700,74.22435
20200905T1800,73.30635
20200905T1900,72.46035
20200905T2000,72.44235
20200905T2100,72.08235
20200905T2200,71.61435
20200905T2300,71.07435
20200906T0000,70.624344
20200906T0100,70.89435
20200906T0200,71.81235
20200906T0300,72.51435
20200906T0400,72.47835
20200906T0500,72.47835
20200906T0600,73.61235
20200906T0700,74.58435
20200906T0800,73.73834
20200906T0900,72.370346
20200906T1000,72.370346
20200906T1100,74.620346
20200906T1200,74.76435
20200906T1300,74.80035
20200906T1400,75.75435
20200906T1500,75.790344
20200906T1600,74.96235
20200906T1700,73.09035
20200906T1800,70.984344
20200906T1900,70.10235
20200906T2000,70.21035
20200906T2100,70.732346
20200906T2200,71.09235
20200906T2300,71.272354
20200907T0000,71.344345
20200907T0100,70.84035
20200907T0200,70.39035
20200907T0300,70.22835
20200907T0400,70.44435
20200907T0500,70.75035
20200907T0600,74.02635
20200907T0700,77.374344
20200907T0800,77.39235
20200907T0900,77.19435
20200907T1000,78.00435
20200907T1100,74.872345
20200907T1200,74.47635
20200907T1300,75.68234
20200907T1400,75.57435
20200907T1500,75.86235
20200907T1600,76.02435
20200907T1700,75.484344
20200907T1800,74.35034
20200907T1900,73.828354
20200907T2000,73.66635
20200907T2100,73.522354
20200907T2200,72.82035
20200907T2300,71.86635
